电视频道,#genre#
CCTV-1综合频道,http://39.136.48.18:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV-1综合频道,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV-1综合频道,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8

CCTV-2财经频道,http://39.136.48.18:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV-2财经频道,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV-2财经频道,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8

CCTV-3综艺频道,http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8
CCTV-3综艺频道,http://222.240.82.92:9901/tsfile/live/0003_1.m3u8
CCTV-3综艺频道,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8

CCTV-4中文国际,http://39.136.48.18:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV-4中文国际,http://222.240.82.92:9901/tsfile/live/0004_1.m3u8
CCTV-4中文国际,http://117.148.179.163/PLTV/88888888/224/3221231726/index.m3u8

CCTV-5体育频道,http://39.136.48.18:8089/PLTV/88888888/224/3221226425/index.m3u8
CCTV-5体育频道,http://222.240.82.92:9901/tsfile/live/0005_1.m3u8
CCTV-5体育频道,http://117.148.179.163/PLTV/88888888/224/3221231702/index.m3u8

CCTV-5+体育赛事,http://39.136.48.18:8089/PLTV/88888888/224/3221225781/index.m3u8
CCTV-5+体育赛事,http://120.221.40.68:6410/shandong_cabletv.live.zte.com////CHANNEL00000316/index.m3u8
CCTV-5+体育赛事,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8

CCTV-6电影频道,http://111.20.33.97/PLTV/88888893/224/3221226393/index.m3u8
CCTV-6电影频道,http://222.240.82.92:9901/tsfile/live/0006_1.m3u8
CCTV-6电影频道,http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878396

CCTV-7国防军事,http://39.136.48.18:8089/PLTV/88888888/224/3221225753/index.m3u8
CCTV-7国防军事,http://125.40.191.58:9901/tsfile/live/1006_1.m3u8
CCTV-7国防军事,http://117.148.179.157/PLTV/88888888/224/3221231633/index.m3u8

CCTV-8电视剧,http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8
CCTV-8电视剧,http://125.40.191.58:9901/tsfile/live/1007_1.m3u8
CCTV-8电视剧,http://117.148.179.163/PLTV/88888888/224/3221231694/index.m3u8

CCTV-9纪录,http://39.136.48.18:8089/PLTV/88888888/224/3221225759/index.m3u8
CCTV-9纪录,http://222.132.191.125:9901/tsfile/live/0009_1.m3u8
CCTV-9纪录,http://117.148.179.163/PLTV/88888888/224/3221231697/index.m3u8

CCTV-10科教,http://39.136.48.18:8089/PLTV/88888888/224/3221225761/index.m3u8
CCTV-10科教,http://222.132.191.125:9901/tsfile/live/0002_1.m3u8
