📺黄枥葳电视台,#genre#
珠江频道,https://tcdn.itouchtv.cn/live/gdzj.m3u8?t_token=1e85edf7620a8e49457befdc89815cb0-nN2c3Kt%2BVpQM8pQ1ensI8jahepS8oI7rrhhBj3Yd2IHlyA4nckOEp2JnAoA1zxGNt5bk%2BAZE6Dy9jk5yib2vWzEd9mAyzV065ZeUrUo0I6gWR%2Fl3UEg9YiSqYPGosjDphy7mPFL8pBHDJMCcH4R9%2BBVzeOrta910mmbaUR%2FMgNb0VUq2AuRqxUhTxa%2BK%2B4Brzu5wpWOiWi5ImMxNjAfZcQO22zhzYeANGKrPDKHBq2gju7oPcGCCJM7EWJZUx8%2FkUgKxgZDl99AwKD32qBGpB961Ldx7FFyYYviAxcsOg%2BWgoj2cP5ghPBH8YsGqhAEXYEF1yetQG%2Fm%2BIVrtQ1zGhmgX5%2BqqWDG%2BGudQ9BKJ6wVpMTkEH5xoJMs8h85xTUATtvfVFTFF5J4%2FZKm28XEROA%3D%3D
广东卫视,http://39.134.66.110/PLTV/88888888/224/3221225966/index.m3u8
珠江频道,http://218.17.216.102:9901/tsfile/live/1001_1.m3u8
珠江频道,http://fxhack.f3322.org:8000/udp/239.77.0.1:5146
珠江频道,http://61.143.45.150:9901/tsfile/live/0018_1.m3u8
珠江频道,http://171.108.239.47:8181/tsfile/live/1001_1.m3u8
结婚live(EXO播放器),https://photovideo.photo.qq.com/1075_0b53rdar7baau4amp4rjkvrthcaed42aaysa.f0.mp4?dis_k=9bfcabf71885729b4cccf498c2e81c89&dis_t=1663686956&vuin=2227273148&owner=MjIyNzI3MzE0OA==
骚白,https://hlstct.douyucdn2.cn/dyliveflv1a/911rsaobai_1024p.m3u8?txSecret=a9843689321ff0ced728ab87539fe285&txTime=6329ecc3&token=h5-douyu-0-911-15ab962edef805ee345a5083ab2180d2&did=29ce6a8de3517a4f05472e8900061631&origin=tct&vhost=play2
TVB翡翠,http://zb.ios.ifeng.com/live/05QGDA0CIRK/index.m3u8
TVB翡翠,http://23.237.10.66:16106$高清1080P
TVB翡翠,http://1b6467f415.iok.la:113/tsfile/live/1053_1.m3u8$高清1080P
李子柒4K,http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8
CCTV1,rtsp://221.203.83.34:554/PLTV/88888888/224/0/3221226118/iptv65795.smil$超清1080P
CCTV1,http://yingliu.8866.org:8181/tsfile/live/0001_1.m3u8$超清1080P
CCTV1,http://111.20.33.70/PLTV/88888893/224/3221226010/index.m3u8$超清1080P
CCTV1,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8$超清1080P
CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8$超清1080P
CCTV1,http://39.134.67.110/PLTV/88888888/224/3221225816/index.m3u8$超清1080P
CCTV1,http://222.175.159.226:808/hls/1/index.m3u8$超清1080P

CCTV2,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226584/10000100000000060000000000499223_0.smil$超清1080P
CCTV2,http://yingliu.8866.org:8181/tsfile/live/0002_1.m3u8
$超清1080P
CCTV2,http://39.134.32.102:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8$超清1080P
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8$超清1080P
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8$超清1080P
CCTV2,http://222.175.159.226:808/hls/2/index.m3u8$超清1080P

CCTV3,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226726/10000100000000060000000006489752_0.smil$超清1080P
CCTV3,http://yingliu.8866.org:8181/tsfile/live/0003_1.m3u8
$超清1080P
CCTV3,http://111.20.33.70/PLTV/88888893/224/3221226397/index.m3u8$超清1080P
CCTV3,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8$超清1080P
CCTV3,http://222.175.159.226:808/hls/3/index.m3u8$超清1080P
